tj,pers
дасисаи касиф,دسیسه‌ای کثیف
Оқои Нетонёҳу гуфт раҳбари Эрон дар пайи дастёбӣ ба силоҳи ҳастаӣ аст,آقای نتانیاهو گفت رهبر ایران در پی دستیابی به سلاح هسته‌ای است
Бархе аз намояндагон ҳам бакул бо ҳамла мухолифат мекарданд,برخی از نمایندگان هم به کل با حمله مخالفت می‌کردند
Писарбача аз сӯйи пизишки қонунӣ ба увнони,پسر بچه از سوی پزشکی قانونی به عنوان
Тамир Ройс,تمیر رایس
шиносоӣ шудааст,شناسایی‌شده‌است
Ҷониби Тоҷикистон ба таври ошкор мавозини байналмилалиро нақз мекунад,جانب تاجیکستان به‌طور آشکار موازن بین‌المللی را نقض می‌کند
Мақомоти бархе аз ин шаҳрҳо тарҳи афзоиши қиматҳоро лағв кардаанд,مقامات برخی از این شهرها طرح افزایش قیمت‌ها را لغو کرده‌اند
Чандин нафар аз муҷриёни шабакаи телевизиюни хусусии,چندین نفر از مجریان شبکه تلویزیونی خصوصی
Дожд,دوژد
Борон,باران
дар сари кор рубони сафед ба либосашон бастаанд,در سرکار روبان سفید به لباسشان بسته اند
Ин инфиҷор ҳамчунин мунҷар ба захмӣ шудани ҳадди ақал,این انفجار همچنین منجر به زخمی شدن حداقل
Ӯ дар ин паёми савтии,او در این پیام صوتی
-дақиқаӣ гуфт,دقیقه‌ای گفت
Оқои Путин дар ин тамос дахолати Русия дар буҳронро рад кардааст,آقای پوتین در این تماس ، دخالت روسیه در بحران را رد کرده است
ҷой дорад,جای دارد
Ӯ дар гуфтугӯ бо хабарнигорон гуфт,او در گفتگو با خبرنگاران گفت
муҳлати музокирот бо Эрон вуҷуд надорад,مهلت مذاکرات با ایران وجود ندارد
таъкид хоҳад кард,تاکید خواهدکرد
Ҳанӯз гузорише аз теъдоди қурбониёни эҳтимолӣ ба даст нарасидааст,هنوز گزارشی از تعداد قربانیان احتمالی به دست نرسیده است
Ҳамалоти ахир ҳокӣ аз шиддат гирифтани хушунатҳо дар Покистон аст,حملات اخیر حاکی از شدت گرفتن خشونت‌ها در پاکستان است
либеролҳо,لیبرالها
Вай ба хабаргузории Фаронса гуфт,وی به خبرگزاری فرانسه گفت
Дар тайи ин амалиёт вазъияти ғайринизомиён вахим шуд,در طی این عملیات وضعیت غیرنظامیان وخیم شد
"Мо силоҳу абзори дифоъ, умдатан муҳимот барои онҳо партоб кардем",ما سلاح و ابزار دفاع ، عمدتا مهمات ، برای آن‌ها پرتاب کردیم
Мақомоти исроилӣ бо таъкид бар ин ки барои онон,مقامات اسرائیلی با تاکید براینکه برای آنان
амнияти шаҳрвандони исроилӣ,امنیت شهروندان اسرائیلی
Давлати Эрон иттиҳоми мудохила дар умури дохилии Яманро рад кардааст,دولت ایران اتهام مداخله در امور داخلی یمن را رد کرده است
ба вақти Омрико,به وقت آمریکا
барои баррасии ин мавзӯъ ташкили ҷаласа диҳанд,برای بررسی این موضوع تشکیل جلسه دهند
соле фоҷеъабор,سالی فاجعه بار
буд ва лозим аст раҳбарони сиёсии ҷаҳон фавран барои,‌بود و لازم است رهبران سیاسی جهان فورا برای
тағйири моҳияти,تغییر ماهیت
Бахшҳое аз ин шаҳр ба тасарруфи гурӯҳи Давлати Исломӣ даромад,بخش‌هایی از این شهر به تصرف گروه دولت اسلامی در آمد
Оқои Керрӣ дар Байтулмуқаддас ба хабарнигорон гуфт,آقای کری در بیت‌المقدس به خبرنگاران گفت
"Аммо ба ин ки нерӯ бифиристем, фикр намекунем, ин ҷанги худашон аст",اما به این که نیرو بفرستیم فکر نمی‌کنیم ، این جنگ خودشان است
Имтиёзи ин кишвар дар солҳои,امتیاز این کشور در سال‌های
баробари,برابر
октябри соли,اکتبر سال
Нун Чии,نون چی
"сола ва муъовини Пул Пут, ба ҳамроҳи Хию Сомфони",ساله و معاون پول پوت ، به همراه خیو سامفان
маҳкум мешаванд,محکوم می‌شوند
вазоратхона дорад,وزارتخانه دارد
Бар асоси тавофуқ,براساس توافق
вазорат ба раиси ҷумҳурӣ ва,وزارت به رئیس جمهوری و
"вазорат ба раиси иҷроӣ, ки дар раъси ду тими интихоботии",وزارت به رئیس اجرایی که در راس دو تیم انتخاباتی
"қарор доштанд, таъаллуқ дорад",قرار داشتند ، تعلق دارد
"Дар Бритониё, Вилём Ҳейг, вазири умури хориҷа, шароити кунунии Мисрро",در بریتانیا ، ویلیام هیگ ، وزیر امور خارجه ، شرایط کنونی مصر را
"Оқои Нетонёҳу имрӯз, якшанбеи",آقای نتانیاهو امروز یکشنبه
Қонуни афви ахир дар соли,قانون عفو اخیر در سال
"-умин солгарди истиқоли Тоҷикистон эълом шуда, дар чорчӯби ин санад",امین سالگرد استقلال تاجیکستان اعلام‌شده‌، در چارچوب این سند
ҳазор зиндонӣ коҳиш ёфта буд,هزار زندانی کاهش یافته بود
хушунат ва харобкорӣ,خشونت و خرابکاری
дар кишвараш машғул ҳастанд,در کشورش مشغول هستند
"Аксари кушташудагон, аз ҳаводорони оқои Мурсӣ буданд",اکثر کشته شدگان ، از هواداران آقای مرسی بودند
"Сомӣ Абӯзаҳрӣ, сухангӯйи Ҳамос, гуфта",سامی ابوزهری ، سخنگوی حماس گفته
барқарорбударо лағв кунад,برقرار بوده را لغو کند
Бино бар баёнияи Кохи Сафед,بنا بر بیانیه کاخ سفید
Абӯбакр Бағдодӣ худро халифа ва раҳбари мусалмонони ҷаҳон хондааст,ابوبکر بغدادی خود را خلیفه و رهبر مسلمانان جهان خوانده است
кумакҳои хориҷӣ ба Афғонистон қатъ шавад,کمک‌های خارجی به افغانستان قطع شود
"ҳамбастагӣ бо қурбониёни шиканҷа, саркӯб ва боздоштҳои худсарона",همبستگی با قربانیان شکنجه ، سرکوب و بازداشت‌های خودسرانه
дар Эрон таҳрим кард,در ایران تحریم کرد
эълом шаванд,اعلام شوند
Давлати Олмон дар баёнияе хостори,دولت آلمان در بیانیه‌ای ، خواستار
тавзеҳи фаврӣ ва ҷомеъи,توضیح فوری و جامع
Вошингтун дар бораи ин,واشنگتن درباره این
нақзи ҷиддии эътимоди,نقض جدی اعتماد
байни ду кишвар шудааст,بین دو کشور‌شده‌است
"оғоз шуд, замоне ки дар хонае дар Истонбул",آغاز شد ، زمانی که در خانه‌ای در استانبول
норинҷаки дастӣ кашф шуд,نارنجک دستی کشف شد
"Оқои Буту, ки пас аз террури модараш ба ҳамроҳи Осиф Алии Зардорӣ",آقای بوتو که پس از ترور مادرش به همراه آصف علی زرداری
падараш,پدرش
аз хоб бедор шаванд,از خواب بیدار شوند
арзиши худашро доштааст,ارزش خودش را داشته است
мутолиботи мардум,مطالبات مردم
-ро бароварда кунад,را برآورده کند
сарбози дигар ба ин кишвар шуд,سرباز دیگر به این کشور شد
Ҳудуди ду моҳ пеш қозии як додгоҳ дар Миср ҳукми эъдоми,حدود دو ماه پیش ، قاضی یک دادگاه در مصر حکم اعدام
"нафар аз муттаҳмони ин парвандаро содир кард, ки ҳукми",نفر از متهمان این پرونده را صادر کرد که حکم
нафар аз онон дар додгоҳе дигар таъйид шудааст,نفر از آنان در دادگاهی دیگر تایید‌شده‌است
нерӯи омрикоӣ ва ироқӣ ҳафтаи оянда дар Бағдод ифтитоҳ хоҳад шуд,نیروی آمریکایی و عراقی هفته آینده در بغداد افتتاح خواهد شد
Бо гузашти замон азму иттиҳоди мо низ тақвият мешавад,با گذشت زمان ، عزم و اتحاد ما نیز تقویت می‌شود
дулор расид,دلار رسید
Имтидоди марзи Тоҷикистон бо Қирғизистон,امتداد مرز تاجیکستان با قرقیزستان
"килуметр буда, ба далели вуҷуди арозии баҳснок танҳо",کیلومتر بوده ، به دلیل وجود اراضی بحث‌ناک تنها
килуметр ё,کیلومتر یا
дарсад аз ин марз таъйин ва аломатгузорӣ шудааст,درصد از این مرز تعیین و علامت‌‌گذاری‌شده‌است
хабаргузории Форс дар хабаре бо унвони,خبرگزاری فارس در خبری با عنوان
тирандозӣ ба диплумоти эронӣ дар Бразил,تیراندازی به دیپلمات ایرانی در برازیلیا
Бразил Диспач,برزیل دیسپچ
"то кунун дар Афғонистон кушта шудаанд, ба",تا کنون در افغانستان کشته شده‌اند ، به
"Волии Нуристон ҳамчунин гуфтааст, ки ин афроди вобаста ба гурӯҳи",والی نورستان همچنین گفته است که این افراد وابسته به گروه
бунёдгарои исломии Покистон؛ Лашкари таййиба аст,بنیادگرای اسلامی پاکستان ؛ لشکر طیبه است
"Охирин бор, ки чунин падидае мушоҳида шуд, соли",آخرین بار که چنین پدیده‌ای مشاهده شد سال
"буд, дар он сол дар кулли дунё сӯзондани зисти тӯда",‌بود ، در آن سال در کل دنیا سوزاندن زیست‌توده
сӯхти бо маншаи гиёҳӣ,سوخت با منشا گیاهی
Ин зилзила дар устони Озарбойҷони Ғарбии Эрон низ эҳсос шудааст,این زلزله در استان آذربایجان غربی ایران نیز احساس‌شده‌است
Русия таъминкунандаи бахши аъзами ниёзҳои энержии Укройн аст,روسیه تامین‌کننده بخش اعظم نیازهای انرژی اوکراین است
"Маълум нест, ки Эдворд Иснувден баъд аз Русия ба куҷо хоҳад рафт",معلوم نیست که ادوارد اسنودن بعد از روسیه به کجا خواهد رفت
ҳазор расида бошад,هزار رسیده باشد
Давлати Шӯравӣ дар соли,دولت شوروی در سال
Аз ҷумлаи ин ихтилофҳо гунҷондани ду иборати,از جمله این اختلاف‌ها ، گنجاندن دو عبارت
таҳдиди фаврӣ,تهدید فوری
Моҳгирифтагии чаҳоршанбешаб тӯлонитарин хусуф дар наздик ба,ماه گرفتگی چهارشنبه شب ، طولانی ترین خسوف در نزدیک به
соли гузашта буд,سال گذشته بود
Ғаввосон то кунун,غواصان تا کنون
"ҷаноза пайдо кардаанд, аммо даҳҳо нафар ҳанӯз мафқудуласар ҳастанд",جنازه پیدا کرده‌اند ، اما دهها نفر هنوز مفقود الاثر هستند
"ба даст омадааст, таъкид кард",به دست آمده است تاکید کرد
Рӯзи ҷумъа ҳам эълом шуд беш аз,روز جمعه هم اعلام شد بیش از
Ин бахш аз тавофуқнома раёсати,این بخش از توافقنامه ریاست
Шурои вазирон,شورای وزیران
Шурои вазирон шомили вазирон ва мутамойиз аз кобина аст,شورای وزیران شامل وزیران و متمایز از کابینه است
Раиси иҷроӣ,رئیس اجرایی
маҷолиси фаръии,مجالس فرعی
Оқои Иброҳим дар як ҷаласаи матбуъотӣ аз кушта шудани,آقای ابراهیم در یک جلسه مطبوعاتی از کشته شدن
"Ин рӯзнома ҳамчунин аз қавли як мақоми омрикоӣ навишта, ки",این روزنامه همچنین از قول یک مقام آمریکایی نوشته که
Ҳавопаймои мусофирбарии аз навъи Буинг,هواپیمای مسافربری از نوع بوئینگ
"Ба гуфтаи манобеъи расмӣ, ин мавзеъ дорои",به گفته منابع رسمی ، این موضع دارای
гурӯҳҳоеро аз тактирандозони хориҷӣ,گروه‌هایی از تک تیراندازان خارجی
-ро созмондиҳӣ карда буд,را سازماندهی کرده بود
кӯдакон,کودکان
дар даргириҳо шадидан интиқод карда буд,در درگیری‌ها شدیدا انتقاد کرده بود
Аз ӯ пурсидам,از او پرسیدم
Рӯйи замин,روی زمین
Ӯ посухашро ислоҳ кард ва гуфт,او پاسخش را اصلاح کرد و گفت
Зерсохтҳои Урдун аз уҳдаи посухгуӣ ба оворагони сурӣ барнамеоянд,زیرساخت‌های اردن از عهده پاسخ‌گویی به آوارگان سوری برنمی‌آید
Як ҳафта қабл аввалин нишонаҳои баҳор дар ин шаҳр дида мешуд,یک هفته قبل ، اولین نشانه‌های بهار در این شهر دیده می‌شد
Оқои Соркузӣ ба забони фаронса гуфт,آقای سارکوزی به زبان فرانسه گفت
"Дигар таҳаммули диданашро надорам, ӯ як дурӯғгӯ аст",دیگر تحمل دیدنش را ندارم ، او یک دروغگوست
"нафареро, ки дар ин қоиқҳо будаанд, тазмин кунад",نفری را که در این قایقها بوده‌اند ، تضمین کند
"Ин созмон мегӯяд, ки оқои Шаҳӣ дар Твитери худ дар бораи додгоҳи ин",این سازمان می‌گوید که آقای شحی در توئیتر خود درباره دادگاه این
тағйироти демукротик,تغییرات دموکراتیک
"ҳастанд, додгоҳӣ шуданд",هستند ، دادگاهی شدند
ба раҳбарии Гулоғо Шерзай эълом шуд,به رهبری گل‌آغا شیرزی اعلام شد
дараҷабандӣ шуд,درجه‌بندی شد
Суръати бодҳояш низ,سرعت بادهایش نیز
килуметр дар соъат баровард шуд,کیلومتر در ساعت برآورد شد
Михаил Горбачёв ин иқдоми намояндагони маҷлисро рад карда ва онро,میخائیل گورباچف این اقدام نمایندگان مجلس را رد کرده و آن را
гурӯҳи оқои Раҳмон,گروه آقای رحمان
Ду ҷашни ҷаҳонии Наврӯз солҳои,دو جشن جهانی نوروز در سالهای
дар Эрон ва севумини он соли,در ایران و سومین آن سال
"Раҷаб Таййиб Эрдуғон имрӯз, панҷшанбеи",رجب طیب اردوغان امروز ، پنجشنبه
дар умури дохилии Афғонистон мудохила накунанд,در امور داخلی افغانستان مداخله نکند
Ду тараф ҳамчунин бар сари мавқеъияти Байтулмуқаддас,دو طرف همچنین بر سر موقعیت بیت المقدس
Урушалим,اورشلیم
ихтилофи назари ҷиддӣ доранд,اختلاف‌نظر جدی دارند
Оқои Солеҳӣ ин қарордодро бахше аз талоши Эрон барои тавлиди,آقای صالحی این قرارداد را بخشی از تلاش ایران برای تولید
"ҳазор мегавот барқи атумӣ унвон кард, ки ба гуфтаи ӯ",هزار مگاوات برق اتمی عنوان کرد که به گفته او
қарор гирифтааст,قرار گرفته است
имтиёз будааст,امتیاز بوده است
Дар Ғазза бо оташбозӣ аз ин гурӯҳ истиқбол шуд,در غزه با آتش‌بازی از این گروه استقبال شد
"Ҷон Керрӣ, вазири хориҷаи Омрико қавли",جان کری ، وزیر خارجه آمریکا قول
авоқиби бисёр ҷиддӣ,عواقب بسیار جدی
Адами ширкат дар нишасти муқаддамотии гурӯҳи,عدم شرکت در نشست مقدماتی گروه
Ғарб,غرب
Ӯ ба манъи раводид ва масдуд кардани дороиҳо ишора мекунад,او به منع روادید و مسدود کردن دارایی‌ها اشاره می‌کند
Вале онҳо ба шиддат навмед хоҳанд шуд,ولی آن‌ها به شدت نومید خواهند شد
"Вай афзуд, ки Эрон ва Афғонистон дорои",وی افزود که ایران و افغانستان دارای
равобити муштараки фарҳангӣ ва динӣ,روابط مشترک فرهنگی و دینی
ҳастанд ва ин иштирокот метавонад заминасози тақвияти равобит бошад,هستند و این اشتراکات می‌تواند زمینه ساز تقویت روابط باشد
саҳми ҷиддӣ дар пешрафти Афғонистон,سهم جدی در پیشرفت افغانستان
ҳазоропоӣ дар ҳоли парвоз будааст,هزارپایی در حال پرواز بوده است
Гурӯҳи мавсум ба,گروه موسوم به
Чанд рӯз пеш мақомоти Ноту тадвини ин тарҳро эълом карданд,چند روز پیش ، مقامات ناتو تدوین این طرح را اعلام کردند
Ӯ рӯзи якшанбе ба Си-эн-эн гуфт,او روز یکشنبه به سی‌ان ان گفت
Инҳо одамҳое меҳанпараст ҳастанд ва гузориш,اینها آدم‌هایی میهن پرست هستند و گزارش
сено,سنا
"Раҳбарии ҳизби аслии мухолифи давлат, Ҳизби мардуми Ҳинд",رهبری حزب اصلی مخالف دولت ، حزب مردم هند
Бҳоротиё Ҷоното,بهاراتیا جاناتا
Ғанисозии урониюм ҷанҷолитарин бахши барномаи атомии Эрон аст,غنی‌سازی اورانیوم جنجالی ترین بخش برنامه اتمی ایران است
"имрӯз, якшанбе",امروز یکشنبه
парандаи ҳидоятпазир аз дур ё ҳавопаймои бидуни сарнишин,پرنده هدایت‌پذیر از دور ، یا هواپیمای بدون سرنشین
ва Муҳоҷир,و مهاجر
рӯнамоӣ шуд,رونمایی شد
Сухангӯйи низомиёни НОТУ ҳушдор дод,سخنگوی نظامیان ناتو هشدار داد
Сафири Сурия дар Лубнон низ чунин иқдомотеро маҳкум донистааст,سفیر سوریه در لبنان نیز چنین اقداماتی را محکوم دانسته است
хоҳони канорагирии ӯ аз қудрат шудаанд,خواهان کناره‌گیری او از قدرت شده‌اند
дар ҳоли тазъиф аст ва акнун вазъияти бисёр ошуфтае дорад,در حال تضعیف است و اکنون وضعیت بسیار آشفته‌ای دارد
Дар пайи ихроҷи раҳбари ҳизби,در پی اخراج رهبر حزب
Ҷамъият фарёд мезад,جمعیت فریاد می‌زد
Ин мақоми пулис гуфт,این مقام پلیس گفت
Сухангӯи идораи пулиси Ню Юрк гуфт,سخنگوی اداره پلیس نیویورک گفت
"адад коҳиш медиҳад, имзо карданд",عدد کاهش می‌دهد امضا کردند
эҳтимолан гоми муносибе хоҳад буд,احتمالا گام مناسبی خواهد بود
Ин музокирот дар остонаи конфаронси байналмилалии Сурия ба номи,این مذاکرات در آستانه کنفرانس بین‌المللی سوریه به نام
Женев,ژنو
"Вай афзуд, ки ҳадафи барномаи ҳастаии Ҷумҳурии Исломӣ",وی افزود که هدف برنامه هسته‌ای جمهوری اسلامی
пешрафти илмӣ,پیشرفت علمی
ва ғурури миллӣ аст ва афзуд,و غرور ملی است و افزود
Глен Гринволд дар мавриди раванди бозҷӯӣ аз партнери худ гуфт,گلن گرینوالد در مورد روند بازجویی از پارتنر خود گفت
"Ба гуфтаи сухангӯйи ин завҷ, дигар фарзандони онҳо, яъне Шилуи",به گفته سخنگوی این زوج ، دیگر فرزندان آن‌ها یعنی شیلو
-сола ҳомили ҳалйқаҳои издивоҷи онҳо буданд,ساله حامل حلقه‌های ازدواج آن‌ها بودند
Замоне қавонине мушобеҳ дар шуморе аз иёлатҳои Омрико иҷро мешуд,زمانی قوانینی مشاه در شماری از ایالت‌های آمریکا اجرا می‌شد
Ҷойи нигаронӣ нест,جای نگرانی نیست
"Исроил хонд, тарғиб кард",اسرائیل خواند را ترغیب کرد
бидуни таъхир як давлат,بدون تاخیر یک دولت
раъйи мухолиф тасвиб кард,رای مخالف تصویب کرد
"Оқои Убомо, дар рӯзномаи Ню Юрк Тоймз навишт",آقای اوباما در روزنامه نیویورک تایمز نوشت
Нахуствазири Итолиё афзуд ки ҳамкориҳои кишвараш пас аз,نخست‌وزیر ایتالیا افزود که همکاریهای کشورش پس از
Мехоҳам пешопеш ба оқои Сарвари Дониш,می‌خواهم پیشاپیش به آقای سرور دانش
муъовини дувуми Ашраф Ғанӣ Аҳмадзай,معاون دوم اشرف‌غنی احمدزی
"ки дар ин пирӯзӣ дар миёни шумост, табрик бигӯям",که در این پیروزی در میان شماست ، تبریک بگویم
наслкушӣ,نسل‌کشی
чунин рафторҳоеро комилан ғайриқобили қабул  медонад,چنین رفتارهایی را کاملا غیرقابل‌قبول می‌داند
Занони тағйир,زنان تغییر
аъзои доими Шурои Амният,اعضای دایم شورای امنیت
Мавқеъияти жеупулитики Укройн ҳам барои Омрико васвасакунанда аст,موقعیت ژئوپولتیک اوکراین هم برای آمریکا وسوسه‌کننده است
Марзҳои Укройн танҳо,مرزهای اوکراین تنها
килуметр то Маскав фосила доранд,کیلومتر تا مسکو فاصله دارند
гурехтаанд,گریخته‌اند
Қарор аст сарони кишварҳои дунё аввали меҳр,قرار است سران کشورهای دنیا اول مهر
Нахуствазири Исроил гуфт,نخست‌وزیر اسرائیل گفت
Дар ҷадвали соли,در جدول سال
"буд, ки дар соли ҷорӣ камтар шуда ва ҳокӣ аз афзоиши фасод аст",‌بود که در سال جاری کمتر‌شده‌و حاکی از افزایش فساد است
Хонум Клинтун дар кумитаи умури хориҷаи Маҷлиси Намояндагон гуфт,خانم کلینتون در کمیته امور خارجه مجلس نمایندگان گفت
Коршиносони мустақил ҳам иттиҳоми мушобеҳеро матраҳ мекунанд,کارشناسان مستقل هم اتهام مشابهی را مطرح می‌کنند
Ин интихобот бо ширкати се номзад баргузор мешавад,این انتخابات با شرکت سه نامزد برگزار می‌شود
"Мақомҳои эронӣ таъкид доштаанд, ки сомонаи С-",مقام‌های ایرانی تاکید داشته‌اند که سامانه اس -
ҷанбаи дифоъӣ дорад ва машмули таҳримҳои Созмони Милал намешаванд,جنبه دفاعی دارد و مشمول تحریم‌های سازمان ملل نمی‌شوند
Эрон бо ибрози нохурсандӣ аз тасмими Русия дар худдорӣ аз таҳвили С-,ایران با ابراز ناخرسندی از تصمیم روسیه در خودداری از تحویل اس -
аз шикоят дар ин замина ва талош барои дарёфти ғаромат хабар дода буд,از شکایت در این زمینه و تلاش برای دریافت غرامت خبر داده بود
рақиби мухолифи давлат ба ҷурми ширкат дар як,رقیب مخالف دولت به جرم شرکت در یک
роҳпаймоии ғайриқонунӣ,راهپیمایی غیرقانونی
Ва ё дар соли,و یا در سال
"Бояд сигорро тарк кунед, содатар аз ин намешавад",باید سیگار را ترک کنید ، ساده تر از این نمی‌شود
Дигар чи метавонам бигӯям,دیگر چه می‌توانم بگویم
мавриди эъдом дар соли,مورد اعدام در سال
Ин моҳвораҳо аз марказе низомӣ дар шимоли Чин ҳидоят мешаванд,این ماهواره‌ها از مرکزی نظامی در شمال چین هدایت می‌شوند
Ди-эн-эй,دی‌ان ای
ҳувияти ӯ таъйид шудааст,هویت او تایید‌شده‌است
лағв кард,لغو کرد
"сол дошта бошад, бо",سال داشته باشد با
Ӯ соли гузашта бо,او سال گذشته با
мувофиқ аз маҷмӯъи,موافق از مجموع
раъйи маъхуза раиси маҷлис шуда буд,رای ماخوذه رئیس مجلس‌شده‌بود
Мақомоти давлатӣ низ бо  ин гуна ҳаводис боэҳтиёт бархӯрд кардаанд,مقامات دولتی نیز با این‌گونه حوادث با احتیاط برخورد کرده اند
Ин пайкорҷӯён ағлаб аҳдофи низомиро мавриди ҳамла қарор медиҳанд,این پیکارجویان اغلب اهداف نظامی را مورد حمله قرار می‌دهند
Бузургтарин нигаронӣ тарс аз як ҷанги тасодуфӣ аст,بزرگ ترین نگرانی ، ترس از یک جنگ تصادفی است
Ин ҷанг аз ҷанги панҷрӯза дар Гурҷистон дар соли,این جنگ ، از جنگ پنج روزه در گرجستان در سال
ба маротиб хунинтар хоҳад буд,به مراتب خونین‌تر خواهد بود
Куреи Шимолӣ то кунун чандин мушаки ҳастаиро озмоиш кардааст,کره شمالی تاکنون چندین موشک هسته‌ای را آزمایش کرده است
нафарро захмӣ кардааст,نفر را زخمی کرده است
сангинтар шуд,سنگین تر شد
Укройн тамомии нерӯҳои захираи артишро ба хидмат фаро хондааст,اوکراین تمامی نیروهای ذخیره ارتش را به خدمت فراخوانده است
Бештари қурбониён аз сокинони Омрикои Лотин ва ҳавзаи Коройиб будаанд,بیشتر قربانیان از ساکنان آمریکای لاتین و حوزه کارائیب بوده‌اند
Раиси ҷумҳури Фаронса зимни таъкид бар зарурати вуҷуди таҳримҳо гуфт,رئیس جمهور فرانسه ضمن تاکید بر ضرورت وجود تحریم‌ها گفت
Оқои Путин қатли ӯро маҳкум карда ва қавли ёфтани қотилонро додааст,آقای پوتین قتل او را محکوم کرده و قول یافتن قاتلان را داده است
Як гузориши таъйиднашуда шумори куштаҳоро,یک گزارش تایید‌نشده‌شمار کشته‌ها را
моҳи гузашта дар Сурия боъиси сард шудани равобити ду кишвар шуда буд,ماه گذشته در سوریه باعث سرد شدن روابط دو کشور‌شده‌بود
"Умар Форуқ Абдулмуталаб, ки",عمر فاروق عبدالمطلب که
милюн бушка коҳиш пайдо кунад,میلیون بشکه کاهش پیدا کند
"Ин дар ҳоле аст, ки ду тараф машғули табодули усарои ҷангӣ ҳастанд",این در حالی است که دو طرف مشغول تبادل اسرای جنگی هستند
Дар вебсойти расмии Бонки марказии Чин омадааст,در وبسایت رسمی بانک مرکزی چین آمده است
Мухолифони ҳукумати Сурия мегӯянд беш аз,مخالفان حکومت سوریه می‌گویند بیش از
нафар дар эътирозҳои рӯзи якшанбе,نفر در اعتراض‌های روز یکشنبه
дар нуқоти мухталифи ин кишвар кушта шудаанд,در نقاط مختلف این کشور کشته شده‌اند
Ин систем беш аз,این سیستم بیش از
ҳазор бор бар ҳудуди,هزار بار بر حدود
Ҳатто хабарнигорон низ дар маърази ташаъшуъоти он қарор гирифтаанд,حتی خبرنگاران نیز در معرض تشعشعات آن قرار گرفته اند
Берлин пойтахти пуршукуҳ аммо вайрони,برلین ، پایتخت پرشکوه اما ویران
роиши севум,رایش سوم
"Иттиҳоди Шӯравӣ дар шарқ, Омрико, Бритониё ва Фаронса дар ғарб",اتحاد شوروی در شرق ، آمریکا و بریتانیا و فرانسه در غرب
"Ба гуфтаи Волерий Ҳелетей, вазири дифоъи Укройн, акнун",به گفته والری هلتی ، وزیر دفاع اوکراین ، اکنون
Порлумони Русия нахуствазирии Дмитрий Медведевро таъйид кардааст,پارلمان روسیه ، نخست وزیری دمیتری مدودف را تائید کرده است
Бо вуҷуди тасмими давлати Сурия ба ширкат дар иҷлоси Женев-,با وجود تصمیم دولت سوریه به شرکت در اجلاس ژنو -
бояд дар канори ҳукумати феълӣ дар давлати интиқолӣ ширкат кунанд,باید در کنار حکومت فعلی در دولت انتقالی شرکت کنند
Аз нигоҳи ӯ,از نگاه او
либеролҳои,لیبرال های
сарвати худро ба даст оварданд,ثروت خود را بدست آوردند
"-сола, мутааҳҳил ва дорои чаҳор фарзанд аст",ساله ، متاهل و دارای چهار فرزند است
Манобеъи давлат теъдоди кушташудагони ин рӯзро,منابع دولتی تعداد کشته‌شدگان این روز را
нафар эълом кардаанд,نفر اعلام کرده‌اند
Мо ҳар шаб ҳудуди як соъат бо ҳам суҳбат мекунем,ما هر شب حدود یک ساعت با هم صحبت می‌کنیم
Қаҳрамони кор,قهرمان کار
Ҷасади ин чаҳор нафар пеш аз судури баёния пайдо шуда буд,جسد این چهار نفر پیش از صدور بیانیه پیدا‌شده‌بود
ӯро лагадмол кунад,او را لگد مال کند
Тронсднестриё дар соли,ترانس‌نیستریا در سال
табдил шудааст,تبدیل‌شده‌است
"ҳам шинохта мешавад, ташкил диҳад",هم شناخته می‌شود ، تشکیل دهد
як таҳдиди айнӣ,یک تهدید عینی
"Самия Бахш, корманди бахши мунитуринги Би-би-сӣ мегӯяд",سمیه بخش ، کارمند بخش مونیتورینگ بی‌بی‌سی ، می‌گوید
"-килуметрии шимоли Бағдод, пойтахти Ироқ, воқеъ аст",کیلومتری شمال بغداد ، پایتخت عراق ، است
АйЭсАй,آی اس آی
ва гурӯҳи Алқоъида ҳимоят мешавад,و گروه القاعده حمایت می‌شود
"дарёфт кардаанд, башиддат мутаноқизанд",دریافت کرده‌اند به شدت متناقضند
имкони вуқуъи ҳар гуна эҳтимоле,امکان وقوع هر گونه احتمالی
-ро фароҳам мекунад,را فراهم می‌کند
Аз замоне ки Борок Убомо дар соли,از زمانی که باراک اوباما در سال
коҳиш ёфтааст,کاهش یافته است
дастикам,دست کم
нафар аз ҷумла,نفر از جمله
нерӯи амниятии давлатӣ кушта шуданд,نیروی امنیتی دولتی کشته شدند
миёни Афғонистону Омрико ба имзо расид,میان افغانستان و آمریکا به امضائ رسید
Бино бар ин баёния,بنا بر این بیانیه
хонаҳои бисёре вайрон шудааст,خانه‌های بسیاری ویران‌شده‌است
Сартип Борун дар нишасти хабарӣ дар Байтулмуқаддас гуфт,سرتیپ برون در نشستی خبری در بیت‌المقدس گفت
ҳимоят мекард,حمایت می‌کرد
байнобайнии,بینابینی
нуқтаи ғайриқобилибозгашти,نقطه غیرقابل بازگشت
ҷанги тамом айёр бо Русия наздик шудааст,جنگ تمام عیار با روسیه نزدیک‌شده‌است
Яке аз сухангӯёни Вазорати умури хориҷаи Омрико гуфтааст,یکی از سخنگویان وزارت امور خارجه آمریکا گفته است
"Фоту Бенсудо, додситони Девони байналмилалии кайфарӣ гуфтааст",فاطو بن سودا ، دادستان دیوان بین‌المللی کیفری گفته است
