tj,pers
Фурудгоҳи Байналмиллалии Лиен Хуонг,فرودگاه بین‌المللی لین کنگ
Фурудгоҳи Байналмиллалии Лиепайа,فرودگاه بین‌المللی لیه‌پاجه
Фурудгоҳи Байналмиллалии Лизбург,فرودگاه بین‌المللی لیزبورگ
Фурудгоҳи Байналмиллалии Лилонгве,فرودگاه بین‌المللی لیلونگوه
Фурудгоҳи Байналмиллалии Лимон,فرودگاه بین‌المللی لیمون
Фурудгоҳи Байналмиллалии Пхукет,فرودگاه بین‌المللی پوکت
Фурудгоҳи Байналмиллалии Рог Вали-Медфорд,فرودگاه بین‌المللی رگو ولی-مدفورت
Фурудгоҳи Байналмиллалии Сием Рип,فرودگاه بین‌المللی سیم ریپ
Фурудгоҳи Байналмиллалии Ҷиннаҳ,فرودگاه بین‌المللی جناح
Фурудгоҳи Байн‌алмилалии Лонкоран,فرودگاه بین‌المللی لنکران
Фурудгоҳи Байн‌алмиллалии Ёсир Арафот,فرودگاه بین‌المللی یاسر عرفات
Фурудгоҳи Байн‌алмиллалии Аббатсфорд,فرودگاه بین‌المللی ابوتسفورد
Фурудгоҳи Байн‌алмиллалии Абраҳам Гонсалез,فرودگاه بین‌المللی آبراهام گونزالس
Фурудгоҳи байн‌алмиллалии Абузабӣ,فرودگاه بین‌المللی ابوظبی
Фурудгоҳи Байн‌алмиллалии Адисусипто,فرودگاه بین‌المللی ادیسوسیپتو
Фурудгоҳи Байн‌алмиллалии Алфредо Васкез Кобо,فرودگاه بین‌المللی آلفردو واسکوز کوبو
Фурудгоҳи Байн‌алмиллалии Ангола,فرودگاه بین‌المللی آنگولا
Фурудгоҳи Байн‌алмиллалии Арад,فرودگاه بین‌المللی آراد
Фурудгоҳи Байн‌алмиллалии Арканзас,فرودگاه بین‌المللی آرکانزاس
Фурудгоҳи Байн‌алмиллалии Артуро Мичелена,فرودگاه بین‌المللی ارارا
Фурудгоҳи Байн‌алмиллалии Арҷон,فرودگاه بین‌المللی ارجان
Фурудгоҳи Байн‌алмиллалии Асаба,فرودگاه بین‌المللی اسابا
Фурудгоҳи Байн‌алмиллалии Асмара,فرودگاه بین‌المللی اسمره
Фурудгоҳи Байн‌алмиллалии Бакау,فرودگاه بین‌المللی باکائو
Фурудгоҳи Байн‌алмиллалии Бакол-Силай,فرودگاه بین‌المللی باکولود–سیلای
Фурудгоҳи Байн‌алмиллалии Балти,فرودگاه بین‌المللی بالتی
Фурудгоҳи Байн‌алмиллалии Бамако-Сеноу,فرودگاه بین‌المللی باماکو-سانوو
Фурудгоҳи Байн‌алмиллалии Бангока,فرودگاه بین‌المللی بانگوکا
Фурудгоҳи Байн‌алмиллалии Бангуи Мпоко,فرودگاه بین‌المللی بانگوئی ام‌پوکو
Фурудгоҳи Байн‌алмиллалии Бандар Қосим,فرودگاه بین‌المللی بندر قاسم
Фурудгоҳи Байн‌алмиллалии Бандаранаике,فرودگاه بین‌المللی باندرانیکی
Фурудгоҳи Байн‌алмиллалии Банҷа Лука,فرودگاه بین‌المللی بانیا لوکا
Фурудгоҳи Байн‌алмиллалии Банҷул,فرودگاه بین‌المللی بانجول
Фурудгоҳи Байн‌алмиллалии Басра,فرودگاه بین‌المللی بصره
Фурудгоҳи Байн‌алмиллалии Бассел Ал-Ассад,فرودگاه بین‌المللی باسل الاسد
Фурудгоҳи Байн‌алмиллалии Баудетте,فرودگاه بین‌المللی باودت
Фурудгоҳи Байн‌алмиллалии Бауерфилд,فرودگاه بین‌المللی باورفیلد
Фурудгоҳи Байн‌алмиллалии Бача Хан,فرودگاه بین‌المللی باچا خان
Фурудгоҳи Байн‌алмиллалии Бачигуалато,فرودگاه بین‌المللی بچیگوایلاتو
Фурудгоҳи Байн‌алмиллалии Баюн Гуангчжоу,فرودگاه بین‌المللی بایون گوآنگ‌ژو
Фурудгоҳи Байн‌алмиллалии Баюн Гуангчжоу (собиқ),فرودگاه بین‌المللی بایون گوآنگجو (سابق)
Фурудгоҳи Байн‌алмиллалии Бағдод,فرودگاه بین‌المللی بغداد
Фурудгоҳи Байн‌алмиллалии Баҳиас де Ҳуатулко,فرودگاه بین‌المللی باهیاس د هواتولکو
Фурудгоҳи Байн‌алмиллалии Баҳрайн,فرودگاه بین‌المللی بحرین
Фурудгоҳи Байн‌алмиллалии Белингҳам,فرودگاه بین‌المللی بلینگهم
Фурудгоҳи Байн‌алмиллалии Белфаст,فرودگاه بین‌المللی بلفاست
Фурудгоҳи Байн‌алмиллалии Беназир Бҳутто,فرودگاه بین‌المللی بینظیر بوتو
Фурудгоҳи Байн‌алмиллалии Бенина,فرودگاه بین‌المللی بنینه
Фурудгоҳи Байн‌алмиллалии Биллингз Логан,فرودگاه بین‌المللی بیلینگز لوگان
Фурудгоҳи Байн‌алмиллалии Бисби-Дуглас,فرودگاه بین‌المللی بیسبی-داگلاس
Фурудгоҳи Байн‌алмиллалии Бишоп,فرودگاه بین‌المللی بیشاپ
Фурудгоҳи Байн‌алмиллалии Блейз Диан,فرودگاه بین‌المللی بلز دیان
Фурудгоҳи Байн‌алмиллалии Блекпул,فرودگاه بین‌المللی بلکپول
Фурудгоҳи Байн‌алмиллалии Боа Виста,فرودگاه بین‌المللی بوآ ویستا
Фурудгоҳи Байн‌алмиллалии Боле,فرودگاه بین‌المللی بوول
Фурудгоҳи Байн‌алмиллалии Болингбрукс Клоу,فرودگاه بین‌المللی بولینگبروکس کلو
Фурудгоҳи Байн‌алмиллалии Бонрики,فرودگاه بین‌المللی بونریکی
Фурудгоҳи Байн‌алмиллалии Бориспил,فرودگاه بین‌المللی بوریسپیل
Фурудгоҳи Байн‌алмиллалии Боузмен Йелоустоун,فرودگاه بین‌المللی بوزمن یلوواستون
Фурудгоҳи Байн‌алмиллалии Бразилиа,فرودگاه بین‌المللی برازیلیا
Фурудгоҳи Байн‌алмиллалии Бредли,فرودگاه بین‌المللی بردلی
Фурудгоҳи Байн‌алмиллалии Бронсвил/Ҷазираи Сауз Падре,فرودگاه بین‌المللی برانزویل/ساوث پادره آیلند
Фурудгоҳи Байн‌алмиллалии Бруней,فرودگاه بین‌المللی برونئی
Фурудгоҳи Байн‌алмиллалии Брянск,فرودگاه بین‌المللی بریانسک
Фурудгоҳи Байн‌алмиллалии Бугесера,فرودگاه بین‌المللی بوگسرا
Фурудгоҳи Байн‌алмиллалии Будапешт Ференс Лист,فرودگاه بین‌المللی بوداپست فرنتس لیست
Фурудгоҳи Байн‌алмиллалии Бурлингтон,فرودگاه بین‌المللی برلینگتون
Фурудгоҳи Байн‌алмиллалии Буфало Ниагара,فرودگاه بین‌المللی بوفالو نیاگارا
Фурудгоҳи Байн‌алмиллалии Бухоро,فرودگاه بین‌المللی بخارا
Фурудгоҳи Байн‌алмиллалии Буҷумбура,فرودگاه بین‌المللی بوجومبورا
Фурудгоҳи Байн‌алмиллалии В. С. Берд,فرودگاه بین‌المللی و. س. برد
Фурудгоҳи Байн‌алмиллалии Вавау,فرودگاه بین‌المللی واوایو
Фурудгоҳи Байн‌алмиллалии Вал-ди-Канс,فرودگاه بین‌المللی ول د کائس
Фурудгоҳи Байн‌алмиллалии Валли,فرودگاه بین‌المللی ولی
Фурудгоҳи Байн‌алмиллалии Ванкувер,فرودگاه بین‌المللی ونکوور
Фурудгоҳи Байн‌алмиллалии Ванс В. Амори,فرودگاه بین‌المللی ونس و. آموری
Фурудгоҳи Байн‌алмиллалии Ваттай,فرودگاه بین‌المللی واتایی
Фурудгоҳи Байн‌алмиллалии Веер Саваркар,فرودگاه بین‌المللی ویر سوارکار
Фурудгоҳи Байн‌алмиллалии Вееравила,فرودگاه بین‌المللی ویراویلا
Фурудгоҳи Байн‌алмиллалии Веллингтон,فرودگاه بین‌المللی ولینگتون
Фурудгоҳи Байн‌алмиллалии Венжоу Лонгван,فرودگاه بین‌المللی ونچو یونگچیانگ
Фурудгоҳи Байн‌алмиллалии Вентспилс,فرودگاه بین‌المللی ونتس‌پیلز
Фурудгоҳи Байн‌алмиллалии Венустиано Карранза,فرودگاه بین‌المللی ونوستیانو کارآنسا
Фурудгоҳи Байн‌алмиллалии Викториа,فرودگاه بین‌المللی ویکتوریا
Фурудгоҳи Байн‌алмиллалии Вилкес-Баре Скрантон,فرودگاه بین‌المللی ویلکز بار - اسکرانتون
Фурудгоҳи Байн‌алмиллалии Вилмингтон,فرودگاه بین‌المللی ویلمینگتون
Фурудгоҳи Байн‌алмиллалии Вилнюс,فرودگاه بین‌المللی ویلنیوس
Фурудгоҳи Байн‌алмиллалии Винипег Ҷеймс Армстронг Ричардсон,فرودگاه بین‌المللی وینیپگ جیمز آرمسترانگ ریچاردسون
Фурудгоҳи Байн‌алмиллалии Виракопос–Кампинас,فرودگاه بین‌المللی ویراکوپوس-کامپیناس
Фурудгоҳи Байн‌алмиллалии Виру Виру,فرودگاه بین‌المللی ویرو ویرو
Фурудгоҳи Байн‌алмиллалии Владивосток,فرودگاه بین‌المللی ولادی‌وستوک
Фурудгоҳи Байн‌алмиллалии Внуково,فرودگاه بین‌المللی ونوکووا
Фурудгоҳи Байн‌алмиллалии Волгоград,فرودگاه بین‌المللی ولگاگراد
Фурудгоҳи Байн‌алмиллалии Ворроуд,فرودگاه بین‌المللی واررود
Фурудгоҳи Байн‌алмиллалии Вршатс,فرودگاه بین‌المللی ورشاتس
Фурудгоҳи Байн‌алмиллалии Вуҳон Тиёнҳе,فرودگاه بین‌المللی ووهان تیانهه
Фурудгоҳи Байн‌алмиллалии Габеҷ-Матмата,فرودگاه بین‌المللی گابیس
Фурудгоҳи Байн‌алмиллалии Гавернор Франсиско Габриелли,فرودگاه بین‌المللی گاورنر فرنسیسکو گابریلی
Фурудгоҳи Байн‌алмиллалии Ган,فرودگاه بین‌المللی گن
Фурудгоҳи Байн‌алмиллалии Гандер,فرودگاه بین‌المللی گندر
Фурудгоҳи Байн‌алмиллалии Ганҷа,فرودگاه بین‌المللی گنجه
Фурудгоҳи Байн‌алмиллалии Гао,فرودگاه بین‌المللی ژاو
Фурудгоҳи Байн‌алмиллалии Гаосюн,فرودگاه بین‌المللی گاوشیونگ
Фурудгоҳи Байн‌алмиллалии Гароуа,فرودگاه بین‌المللی گاروا
Фурудгоҳи Байн‌алмиллалии Гафса Касар,فرودگاه بین‌المللی گافساکسار
Фурудгоҳи Байн‌алмиллалии Гвадар,فرودگاه بین‌المللی گوادار
Фурудгоҳи Байн‌алмиллалии Гери Чикаго,فرودگاه بین‌المللی گاری/چیکگو
Фурудгоҳи Байн‌алмиллалии Гимпо,فرودگاه بین‌المللی گیمپو
Фурудгоҳи Байн‌алмиллалии Гимҳае,فرودگاه بین‌المللی گیمهی
Фурудгоҳи Байн‌алмиллалии Гласгоу,فرودگاه بین‌المللی گلاسگو
Фурудгоҳи Байн‌алмиллалии Глашиер Парк,فرودگاه بین‌المللی گلیشر پارک
Фурудгоҳи Байн‌алмиллалии Гобарнадор Ҳорасио Гузман,فرودگاه بین‌المللی گبرنیدر هراسیو گوزمن
Фурудгоҳи Байн‌алмиллалии Голосон,فرودگاه بین‌المللی گلسون
Фурудгоҳи Байн‌алмиллалии Гома,فرودگاه بین‌المللی گوما
Фурудгоҳи Байн‌алмиллалии Гомбе Лавантӣ,فرودگاه بین‌المللی گمب لاوانتی
Фурудгоҳи Байн‌алмиллалии Грейт Фолс,فرودگاه بین‌المللی گریت فالز
Фурудгоҳи Байн‌алмиллалии Гриффис,فرودگاه بین‌المللی گریفیز
Фурудгоҳи Байн‌алмиллалии Гуаронӣ,فرودگاه بین‌المللی گوآرانی
Фурудгоҳи Байн‌алмиллалии Гуилин Лянҷиян,فرودگاه بین‌المللی گایلین لیانگ‌جیانگ
Фурудгоҳи Байн‌алмиллалии Даеҷу,فرودگاه بین‌المللی دئگو
Фурудгоҳи Байн‌алмиллалии Данидин,فرودگاه بین‌المللی دنیدن
Фурудгоҳи Байн‌алмиллалии Дарвин,فرودگاه بین‌المللی داروین
Фурудгоҳи Байн‌алмиллалии Даугавпилс,فرودگاه بین‌المللی داوگافپیلس
Фурудгоҳи Байн‌алмиллалии Дебресен,فرودگاه بین‌المللی دبرتسن
Фурудгоҳи Байн‌алмиллалии Дейтон,فرودگاه بین‌المللی دیتون
Фурудгоҳи Байн‌алмиллалии Дел-Баҷо,فرودگاه بین‌المللی دل بایو
Фурудгоҳи Байн‌алмиллалии Дел Норт,فرودگاه بین‌المللی دل نورت
Фурудгоҳи Байн‌алмиллалии Дера Ғози Хон,فرودگاه بین‌المللی دیرا گازی کان
Фурудгоҳи Байн‌алмиллалии Димишқ,فرودگاه بین‌المللی دمشق
Фурудгоҳи Байн‌алмиллалии Диори Ҳаманӣ,فرودگاه بین‌المللی دایوری هامانی
Фурудгоҳи Байн‌алмиллалии Днепр,فرودگاه بین‌المللی دنیپروپتروفسک
Фурудгоҳи Байн‌алмиллалии Домодедово,فرودگاه بین‌المللی دوموده‌دوو
Фурудгоҳи Байн‌алмиллалии Дон Муеанг,فرودگاه بین‌المللی دن موئنگ
Фурудгоҳи Байн‌алмиллалии Донетск,فرودگاه بین‌المللی دونتسک
Фурудгоҳи Байн‌алмиллалии Доуала,فرودگاه بین‌المللی دوالا
Фурудгоҳи Байн‌алмиллалии Доҳа,فرودگاه بین‌المللی دوحه
Фурудгоҳи Байн‌алмиллалии Дулут,فرودگاه بین‌المللی دلوت
Фурудгоҳи Байн‌алмиллалии Дурбан,فرودگاه بین‌المللی دوربان
Фурудгоҳи Байн‌алмиллалии Дуҳок,فرودگاه بین‌المللی دوهوک
Фурудгоҳи Байн‌алмиллалии Дюсселдорф,فرودگاه بین‌المللی دوسلدورف
Фурудгоҳи Байн‌алмиллалии Закатала,فرودگاه بین‌المللی زاکاتلا
Фурудгоҳи Байн‌алмиллалии Закинтос,فرودگاه بین‌المللی زاکینثوس
Фурудгоҳи Байн‌алмиллалии Замбоанга,فرودگاه بین‌المللی زامبونگا
Фурудгоҳи Байн‌алмиллалии Зангбор,فرودگاه بین‌المللی زنگبار
Фурудгоҳи Байн‌алмиллалии Запорожие,فرودگاه بین‌المللی زاپوریژیا
Фурудгоҳи Байн‌алмиллалии Иброҳим Носир,فرودگاه بین‌المللی ابراهیم نصیر
Фурудгоҳи Байн‌алмиллалии Илопанго,فرودگاه بین‌المللی ایلوپانگو
Фурудгоҳи Байн‌алмиллалии Инчоен,فرودگاه بین‌المللی اینچئون
Фурудгоҳи Байн‌алмиллалии Иншооллоҳ,فرودگاه بین‌المللی ان‌شاالله
Фурудгоҳи Байн‌алмиллалии Иркутск,فرودگاه بین‌المللی ایرکوتسک
Фурудгоҳи Байн‌алмиллалии Йангйанг,فرودگاه بین‌المللی یانگ‌یانگ
Фурудгоҳи Байн‌алмиллалии Кабо Сан Лукас,فرودگاه بین‌المللی کابو سن لوکاس
Фурудгоҳи Байн‌алмиллалии Кабо Фрио,فرودگاه بین‌المللی کابو فریو
Фурудгоҳи Байн‌алмиллалии Кавала,فرودگاه بین‌المللی کاوالا
Фурудгоҳи Байн‌алмиллалии Каитур,فرودگاه بین‌المللی کایتور
Фурудгоҳи Байн‌алмиллалии Каламазу,فرودگاه بین‌المللی کالامازو
Фурудгоҳи Байн‌алмиллалии Каламата,فرودگاه بین‌المللی کالاماتا
Фурудгоҳи Байн‌алмиллалии Калгари,فرودگاه بین‌المللی کالگری
Фурудгоҳи Байн‌алмиллалии Калексико,فرودگاه بین‌المللی کلکسیکو
Фурудгоҳи Байн‌алмиллалии Калибо,فرودگاه بین‌المللی کالیبو
Фурудгоҳи Байн‌алмиллалии Каликат,فرودگاه بین‌المللی کالیکوت
Фурудгоҳи Байн‌алмиллалии Калян,فرودگاه بین‌المللی کالیان
Фурудгоҳи Байн‌алмиллалии Кам Ранҳ,فرودگاه بین‌المللی کام ران
Фурудгоҳи Байн‌алмиллалии Камило Даза,فرودگاه بین‌المللی کمیلو دازا
Фурудгоҳи Байн‌алмиллалии Кампо Гранде,فرودگاه بین‌المللی کامپوگرانده
Фурудгоҳи Байн‌алмиллалии Канбера,فرودگاه بین‌المللی کانبرا
Фурудгоҳи Байн‌алмиллалии Канзас Сити,فرودگاه بین‌المللی کانزاس‌سیتی
Фурудгоҳи Байн‌алмиллалии Канкун,فرودگاه بین‌المللی کانکون، کینتانا رو
Фурудгоҳи Байн‌алмиллалии Каннур,فرودگاه بین‌المللی کانور
Фурудгоҳи Байн‌алмиллалии Кансай,فرودگاه بین‌المللی کانزای
Фурудгоҳи Байн‌алмиллалии Кантҳо,فرودگاه بین‌المللی کن دو
Фурудгоҳи Байн‌алмиллалии Кап-Ҳаеҳитен,فرودگاه بین‌المللی هوگو چاوز
Фурудгоҳи Байн‌алмиллалии Кап. ФАП Гуиллермо Конка Иберико,فرودگاه بین‌المللی کپ. فاپ گویلرمو کانکا ایبریکو
Фурудгоҳи Байн‌алмиллалии Катарас дел Игуазу,فرودگاه بین‌المللی آبشار ایگواسو
Фурудгоҳи Байн‌алмиллалии Каҳул,فرودگاه بین‌المللی کاهول
Фурудгоҳи Байн‌алмиллалии Кейп Таун,فرودگاه بین‌المللی کیپ‌تاون
Фурудгоҳи Байн‌алмиллалии Келовна,فرودگاه بین‌المللی کلونا
Фурудгоҳи Байн‌алмиллалии Ки Вест,فرودگاه بین‌المللی کی وست
Фурудгоҳи Байн‌алмиллалии Кигали,فرودگاه بین‌المللی کیگالی
Фурудгоҳи Байн‌алмиллалии Килиманҷаро,فرودگاه بین‌المللی کلیمانجارو
Фурудгоҳи Байн‌алмиллалии Кинг Шака,فرودگاه بین‌المللی کینگ شاکا
Фурудгоҳи Байн‌алмиллалии Кишинёв,فرودگاه بین‌المللی کیشیناو
Фурудгоҳи Байн‌алмиллалии Кларк,فرودگاه بین‌المللی کلارک
Фурудгоҳи Байн‌алмиллалии Кливленд Ҳопкинз,فرودگاه بین‌المللی کلیولند هاپکینز
Фурудгоҳи Байн‌алмиллалии Клуҷ-Напока,فرودگاه بین‌المللی کلوژ-نپوکا
Фурудгоҳи Байн‌алмиллалии Команданте Армандо Тола,فرودگاه بین‌المللی کامندنتی ارماندو توولا
Фурудгоҳи Байн‌алмиллалии Корумба,فرودگاه بین‌المللی کورومبا
Фурудгоҳи Байн‌алмиллалии Корумоч,فرودگاه بین‌المللی کورومچ
Фурудгоҳи Байн‌алмиллалии Корфу,فرودگاه بین‌المللی کورفو
Фурудгоҳи Байн‌алмиллалии Косрае,فرودگاه بین‌المللی کوسرای
Фурудгоҳи Байн‌алмиллалии Ла Аврора,فرودگاه بین‌المللی لا آررا
Фурудгоҳи Байн‌алмиллалии Лансериа,فرودگاه بین‌المللی لانسریا
Фурудгоҳи Байн‌алмиллалии Ларедо,فرودگاه بین‌المللی لاردو
Фурудгоҳи Байн‌алмиллалии Леҳай Вали,فرودگاه بین‌المللی لی والی
Фурудгоҳи Байн‌алмиллалии Логан,فرودگاه بین‌المللی لوگان
Фурудгоҳи Байн‌алмиллалии Ломбок,فرودگاه بین‌المللی لومبک
Фурудгоҳи Байн‌алмиллалии Лондон,فرودگاه بین‌المللی لندن
Фурудгоҳи Байн‌алмиллалии Лорето,فرودگاه بین‌المللی لورتو
Фурудгоҳи Байн‌алмиллалии Лубумбошӣ,فرودگاه بین‌المللی لوبوم‌باشی
Фурудгоҳи Байн‌алмиллалии Луҳанск,فرودگاه بین‌المللی لوهانسک
Фурудгоҳи Байн‌алмиллалии Майнот,فرودگاه بین‌المللی ماینت
Фурудгоҳи Байн‌алмиллалии Матавери,فرودگاه بین‌المللی ماتاوری
Фурудгоҳи Байн‌алмиллалии Матекана,فرودگاه بین‌المللی ماتکانا
Фурудгоҳи Байн‌алмиллалии Маттала,فرودگاه بین‌المللی ماتالا
Фурудгоҳи Байн‌алмиллалии Мелбурн,فرودگاه بین‌المللی ملبورن
Фурудгоҳи Байн‌алмиллалии Минск,فرودگاه بین‌المللی مینسک
Фурудгоҳи Байн‌алмиллалии Мои,فرودگاه بین‌المللی موا
Фурудгоҳи Байн‌алмиллалии Мостар,فرودگاه بین‌المللی مووستار
Фурудгоҳи Байн‌алмиллалии Мосул,فرودگاه بین‌المللی موصل
Фурудгоҳи Байн‌алмиллалии Мултан,فرودگاه بین‌المللی مولتان
Фурудгоҳи Байн‌алмиллалии Мутиара,فرودگاه موتیارا
Фурудгоҳи Байн‌алмиллалии Муттабурра,فرودگاه موتابورا
Фурудгоҳи Байн‌алмиллалии Нави Мумбай,فرودگاه بین‌المللی دریایی مومبای
Фурудгоҳи Байн‌алмиллалии Найни Сайнӣ,فرودگاه ناینی سائینی
Фурудгоҳи Байн‌алмиллалии Науру,فرودگاه بین‌المللی نائورو
Фурудгоҳи Байн‌алмиллалии Наҷаф,فرودگاه بین‌المللی نجف
Фурудгоҳи байн‌алмилалии Нурсултон Назарбоев,فرودگاه بین‌المللی نورسلطان نظربایف
Фурудгоҳи Байн‌алмиллалии Огденсбург,فرودگاه بین‌المللی اوگدنزبرگ
Фурудгоҳи Байн‌алмиллалии Одесса,فرودگاه بین‌المللی اودسا
Фурудгоҳи Байн‌алмиллалии Осака,فرودگاه بین‌المللی اوزاکا
Фурудгоҳи Байн‌алмиллалии Остин-Бергстром,فرودگاه بین‌المللی آستین
Фурудгоҳи Байн‌алмиллалии Остин Страубел,فرودگاه بین‌المللی استن استراوبل
Фурудгоҳи Байн‌алмиллалии Пенанг,فرودگاه بین‌المللی پنانگ
Фурудгоҳи Байн‌алмиллалии Пенсакола,فرودگاه بین‌المللی پنساکولا
Фурудгоҳи Байн‌алмиллалии Пиарко,فرودگاه بین‌المللی پیارکو
Фурудгоҳи Байн‌алмиллалии Пилотас,فرودگاه بین‌المللی پلوتاس
Фурудгоҳи Байн‌алмиллалии Платтсбург,فرودگاه بین‌المللی پلتسبورگ
Фурудгоҳи Байн‌алмиллалии Пном Пен,فرودگاه بین‌المللی پنوم‌پن
Фурудгоҳи Байн‌алмиллалии Пристино,فرودگاه بین‌المللی پریشتینا
Фурудгоҳи Байн‌алмиллалии Рафтан,فرودگاه بین‌المللی رود
Фурудгоҳи Байн‌алмиллалии Релей-Дурҳам,فرودگاه بین‌المللی رالی-دورهام
Фурудгоҳи Байн‌алмиллалии Робертз,فرودگاه بین‌المللی رابرتس
Фурудгоҳи Байн‌алмиллалии Сколес дар Галвестон,فرودگاه بین‌المللی گلوستن اسکولز
Фурудгоҳи Байн‌алмиллалии Спокейн,فرودگاه بین‌المللی اسپوکن
Фурудгоҳи Байн‌алмиллалии Стеннис,فرودگاه بین‌المللی استنیس
Фурудгоҳи Байн‌алмиллалии Тессалоники,فرودگاه بین‌المللی سالونیک
Фурудгоҳи Байн‌алмиллалии Ужгород,فرودگاه بین‌المللی اوژهورود
Фурудгоҳи Байн‌алмиллалии Уотертаун,فرودگاه بین‌المللی واترتاون
Фурудгоҳи Байн‌алмиллалии Хартум,فرودگاه بین‌المللی خرطوم
Фурудгоҳи Байн‌алмиллалии Чиндау Лиютин,فرودگاه بین‌المللی کینگدائو لیوتینگ
Фурудгоҳи Байн‌алмиллалии Чионг Май,فرودگاه بین‌المللی چیانگ مای
Фурудгоҳи Байн‌алмиллалии Эдмонтон,فرودگاه بین‌المللی ادمونتون
Фурудгоҳи Байн‌алмиллалии Эксетер,فرودگاه بین‌المللی اکستر
Фурудгоҳи Байн‌алмиллалии Эксума,فرودگاه بین‌المللی اکسوما
Фурудгоҳи Байн‌алмиллалии Эрик Нилсен Уайтҳорс,فرودگاه بین‌المللی اریک نیلسون وایتهورس
Фурудгоҳи Байн‌алмиллалии Эрнесто Кортиссоз,فرودگاه بین‌المللی ارنستو کورتیسوز
Фурудгоҳи Байн‌алмиллалии Янгон,فرودگاه بین‌المللی یانگون
Фурудгоҳи Байн‌алмиллалии Янтай Чаошуй,فرودگاه بین‌المللی یانتای چائوشوی
Фурудгоҳи Байн‌алмиллалии Яп,فرودگاه بین‌المللی یپ
Фурудгоҳи Байн‌алмиллалии Яши,فرودگاه بین‌المللی یاش
Фурудгоҳи Байн‌алмиллалии Қоҳира,فرودگاه بین‌المللی قاهره
Фурудгоҳи Байн‌алмиллалии Ҳосеа Кутако,فرودگاه بین‌المللی ویندهوک هوسیا کوتاکو
Фурудгоҳи Байн‌алмиллалии Ҷенерал Сантос,فرودگاه بین‌المللی ژنرال سانتوس
Фурудгоҳи Байн‌алмиллалии Ҷенерал Франсиско Ксавиер Мина,فرودگاه بین‌المللی ژنرال فرنسیسکو خاویر مینا
Фурудгоҳи Байн‌алмиллалии Ҷенерал Ҳериберто Ҷара,فرودگاه بین‌المللی ژنرال هریبرتو یارا
Фурудгоҳи Байрнсдейл,فرودگاه بایرنسدال
Фурудгоҳи Байрон,فرودگاه بایرون
Фурудгоҳи Байрон В. Р.,فرودگاه دبلیو.آر. بایرون
Фурудгоҳи Байя Маре,فرودگاه بایا ماره
Фурудгоҳи Бакачерз Ранч,فرودگاه باکاچرس رنچ
Фурудгоҳи Бакачери,فرودگاه باکچری
Фурудгоҳи Бакел,فرودگاه باکل
Фурудгоҳи Бакелалан,فرودگاه باکلالان
Фурудгоҳи Бакки,فرودگاه باکی
Фурудгоҳи Бакленд,فرودگاه باکلند
Фурудгоҳи Бакоума,فرودگاه باکووما
Фурудгоҳи Бакс,فرودگاه باکس
Фурудгоҳи Балалае,فرودگاه بالالا
Фурудгоҳи Балларат,فرودگاه بلرت
Фурудгоҳи Балраналд,فرودگاه بالرانالد
Фурудгоҳи Банбури,فرودگاه بنبری
Фурудгоҳи Бандар Удара Вамена,فرودگاه وامنا
Фурудгоҳи Банкаси,فرودگاه بانکسی
Фурудгоҳи Банкрофт,فرودگاه بنکرفت
Фурудгоҳи Банкстаун,فرودگاه بنکستاون
Фурудгоҳи Банну,فرودگاه بانو
Фурудгоҳи Бантайан,فرودگاه بانتایان
Фурудгоҳи Бантри,فرودگاه بانتری
Фурудгоҳи Банф,فرودگاه بانف
Фурудгоҳи Банфора,فرودگاه بانفورا
Фурудгоҳи Баошан,فرودگاه باوشان
Фурудгоҳи Бара дел Колорадо,فرودگاه بارا دل کالردو
Фурудгоҳи Барамати,فرودگاه باراماتی
Фурудгоҳи Барбертон,فرودگاه باربرتن
Фурудгоҳи Бардера,فرودگاه باردرا
Фурудгоҳи Бардуфосс,فرودگاه باردوفوس
Фурудгоҳи Бари,فرودگاه باری
Фурудгоҳи Баринас,فرودگاه باریناس
Фурудгоҳи Барио,فرودگاه باریو
Фурудгоҳи Барисал,فرودگاه باریسال
Фурудгоҳи Баркалдайн,فرودگاه بارکلدین
Фурудгоҳи Баркарби,فرودگاه بارکاربی
Фурудгоҳи Баркервил,فرودگاه بارکرویل
Фурудгоҳи Баррейрас,فرودگاه باریراس
Фурудгоҳи Барретт-Филд,فرودگاه صحرایی بارت
Фурудгоҳи Барселос,فرودگاه بارسلوس
Фурудгоҳи Бартоломей Лисандру,فرودگاه بارتولومو لیساندرو
Фурудгоҳи Барҳед,فرودگاه بارهاد
Фурудгоҳи Баско,فرودگاه باسکو
Фурудгоҳи Бассано,فرودگاه باسانو
Фурудгоҳи Бата,فرودگاه باتا
Фурудгоҳи Батна,فرودگاه بتنا
Фурудгоҳи Батом,فرودگاه باتوم
Фурудгоҳи Батсфорд,فرودگاه بتسفیورد
Фурудгоҳи Баттамбанг,فرودگاه باتم‌بنگ
Фурудгоҳи Батури,فرودگاه باتوری
Фурудгоҳи Батурст (Австралия),فرودگاه بترست (استرالیا)
Фурудгоҳи Батурст (Ню Брунсвик),فرودگاه بترست (نیو برانزویک)
Фурудгоҳи Батурст Айленд,فرودگاه بترست آیلند
Фурудгоҳи Баукау,فرودگاه بائوکائو
Фурудгоҳи Баундари Бей,فرودگاه باوندری بی
Фурудгоҳи Баундари Каунти,فرودگاه باوندری کاونتی
Фурудгоҳи Бауру,فرودگاه باورو
